,Age_Gap 3,Age_Gap 0,Age_Gap 2,Age_Gap 6,Age_Gap 8,Age_Gap 10,Age_Gap 11,Age_Gap 14,Age_Gap 20,Age_Gap 21,Age_Gap 25,Age_Gap 32,Age_Gap 35,Age_Gap 1,Age_Gap 7,Age_Gap 13,Age_Gap 15,Age_Gap 16,Age_Gap 18,Age_Gap 24,Age_Gap 26,Age_Gap 31,Age_Gap 33,Age_Gap 12,Age_Gap 28,Age_Gap 37,Age_Gap 38,Age_Gap 5,Age_Gap 4,Age_Gap 22,Age_Gap 27,Age_Gap 36,Age_Gap 19,Age_Gap 9,Age_Gap 30,Age_Gap 17,Age_Gap 23,Age_Gap 29,Age_Gap 34,Age_Gap 43,Age_Gap 45,Age_Gap 40,Age_Gap 46,Age_Gap 39,Age_Gap 42,Age_Gap 44
Person 0,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person 2,1.0,1,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Person 5,1.0,1,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,
Person 12,1.0,1,1.0,,0.0,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
Person 15,0.0,1,,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
Person 16,1.0,1,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,
Person 19,0.0,1,,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,
Person 21,1.0,1,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,0.0,,,,0.0,1.0,,0.0,,,,,,,,,,
Person 23,1.0,1,0.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
Person 25,1.0,1,1.0,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
