,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051
02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,
03,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,
03a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
03b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2729106935868243,,,,,,,,,,,
04,,,,,,,,,,,,,,,0.2862617475008671,0.0,,,,,,,,,,0.0,,,,,0.13496116850627593,,,,,,0.27628656336253876,0.3273517531022103,,,0.0,0.0,0.0,,,0.1583732959645714,,,,,
05,,0.0,,,,,,,0.427552867455943,0.0,,,,,0.23647855719971356,0.4075755298803554,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,0.30040919980877934,0.12519062223803445,,0.38005427904783007,,0.2931848101367045,,0.449998405994091,0.4219180641510223,0.0,,,,,,,0.0
06,,,,,,,,,,0.1276294066661945,,,,,,,,,,,0.0,,,,,0.2570858077854099,,,,,0.21779821999467985,,,,,0.28489012699939353,0.17278161436304462,,,0.2586370312216639,0.14511231099434974,0.35490898899411527,,,,0.3098497279593764,,,0.0,0.0,
07,,0.13933748312851424,,,,,,,,,0.0,,,,0.23892873255005054,0.49923318133165695,,,0.27325119270437104,,,,0.2114132368355841,0.0,0.0,0.3809306737828564,,,,0.10224061431611509,0.3350181918186623,,,,0.41969537615420505,,,,0.0,0.40792033454480925,,,,0.24434839818583853,,,,,0.36659756109425423,,
07a,,,,,,,,,,0.26768489133903606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07b,,,,,,,,,,0.25087627475453245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,0.0,,,,,,,0.0,,,,,,,,0.6010441077205662,,,,0.0,,,,,,,,,,,,,,,0.40946826509126366,0.1739620773880146,0.36351228777396727,0.5000543230173251,,,,0.47428050943704836,,,0.0,0.25117553052710717,,,0.3811919794946005,,0.23833818725470468
09,,,,,,,,,0.3515720819272673,0.21806278917894695,,,,,0.3755221804671234,,,,,,,,0.31048914543207606,,,,,,,,0.41651725020760566,,,,0.33707849431665204,,0.3715306125959559,,,0.4288159824288703,0.12800211848607912,,,,,,0.0,,,,
